,openlibrary_key,isbn,title,author,first_publish_year,edition_count,original_subjects,assigned_genres,language,number_of_pages,cover_id,availability_status,last_modified,average_rating,rating_count,reviews
0,,,Alice's Adventures in Wonderland,Lewis Carroll,1865,3546,"['Alice (fictitious character : carroll), fiction', 'British and irish fiction (fictional works by one author)', 'Fiction, fantasy, general', 'JUVENILE FICTION', 'classics', 'Fantasy & Magic', 'Imagination & Play', 'adventure and adventurers', 'adventure and adventurers, fiction', 'adventure stories', 'adventure travel', 'animals', 'anthropomorphism', ""artists' illustrated books"", 'books and reading', 'child and youth fiction', 'children', ""children's fiction"", ""children's literature"", ""children's literature, english"", ""children's stories"", ""children's stories, english"", 'classic literature', 'coloring books', 'croquet', 'cuentos infantiles ingleses', 'curiosidad', 'curiosidad en los niños', 'curiosity', 'curiosity in children', 'english', 'english adventure stories', 'english fantastic fiction', 'english fantasy fiction', 'english fantasy literature', 'english language', 'english literature', 'english nonsense verses', 'fairy tales', 'fantasy', 'fantasy fiction', 'fantasy in fiction', 'fantasy  magic', 'fantasía', 'ficción juvenil', 'fiction', 'friendship', 'girls', 'girls, fiction', 'hookahs', 'humor', 'humorous stories', 'illustrations', 'imaginary places', 'juvenile literature', 'legends', 'literary nonsense', 'logic', 'lugares imaginarios', 'mythical animals', 'niñas', 'nonsense verses', 'novela', 'novela fantástica', 'novela juvenil', 'open library staff picks', 'picture books', 'playing cards', 'rabbits', 'readers', 'reading materials', 'short novel', 'tea', 'texts', 'Alice (Fictitious character : Carroll)', 'English language, textbooks for foreign speakers', 'Fantastique', 'Enfants', 'Affirmation de soi', 'Spanish language materials', 'Alicia (Personaje literario : Carroll)', 'Spanish language', 'nyt:chapter-books=2010-02-21', 'New York Times bestseller', 'Literatura infanto-juvenil', 'Literatura inglesa', 'Carroll, lewis, 1832-1898', ""Children's literature, history and criticism"", 'Children, books and reading', 'Crocheting', 'Fiction, general', 'Fantasy fiction, history and criticism', 'Toy and movable books', 'Imagination', 'Textbooks for foreign speakers', 'Readers for new literates', 'High interest-low vocabulary books', 'Science fiction', 'CUENTO INFANTIL INGLES', 'History and criticism', 'Translations into Irish', 'Irish literature', 'Swahili language', 'Ficc ʹa o (ge nero)', 'Shi jie wen xue', 'Xiao shuo', 'Fantasi a', 'Tong hua', 'Suo xie', 'Shao er du wu', 'Pin yin du wu', ""Children's stories, Chinese"", 'Chinese language', 'Translations into Polish', 'Ying yu', 'Yu yan du wu', 'Decision making', 'Juvenile Wit and humor', 'Conduct of life', 'Illusion (Philosophy)', 'Innocence (Psychology)', 'Dreams', 'Courts and courtiers', 'Theft', 'Courts', 'Curiosité', 'Romans, nouvelles, etc. pour la jeunesse', 'Prise de décision', 'Humour pour la jeunesse', 'Morale pratique', 'Lieux imaginaires', 'Illusion (Philosophie)', 'Rêves', 'Cartes à jouer', 'Cours et courtisans', 'Croquet (Jeu)', 'Vol (Droit)', 'Tribunaux', 'Histoires pour enfants anglaises', 'Literature, collections', 'Fiction, short stories (single author)', 'Contes de fées', 'English fiction', 'Translations into Ladino', 'Nonsense literature', 'Fantasmes', 'Dinosaurier', 'Utdöda djur', 'Urtidsdjur', 'Forntiden', 'Geologi', 'Evolution', 'Jorden', 'Fantastiske fortællinger', 'Translations into Yiddish', 'Criticism and interpretation', 'History', ""Alice's adventures in Wonderland (Carroll, Lewis)"", 'Alice in Wonderland;', 'North', 'Rural-urban migration', 'Russian language']","['children', 'science fiction', 'fantasy']",N/A,0,10527843,open,N/A,4.005405405405406,185,[]
1,,,Frankenstein or The Modern Prometheus,Mary Shelley,1818,2183,"['Frankenstein (Fictitious character)', ""Frankenstein's monster (Fictitious character)"", 'Fiction', 'Victor Frankenstein (Fictitious character)', 'Scientists', 'Monsters', 'Fiction, horror', 'Frankenstein (fictitious character), fiction', 'Physicians, fiction', 'British fiction (fictional works by one author)', 'Scientists, fiction', 'Geneva (Switzerland), fiction', ""Children's fiction"", 'Horror stories', 'Fiction, science fiction, general', 'Fiction, general', 'Horror tales', 'Frankenstein (Shelley, Mary Wollstonecraft)', 'Large type books', 'English fiction', 'Study guides', 'Examinations', 'Criticism and interpretation', 'Fiction, gothic', 'English language, textbooks for foreign speakers', 'Reading comprehension', 'Monsters, fiction', 'English literature', 'Comics & graphic novels, science fiction', 'Comics & graphic novels, horror', 'Comic books, strips, etc.', 'Comics & graphic novels, literary', 'Shelley, Mary Wollstonecraft, 1797-1851', 'English fiction (collections), 19th century', 'Literature and fiction, horror and ghost stories', 'Readers', 'Science fiction, history and criticism', 'Horror tales, history and criticism', ""Children's stories"", 'Monstrous', 'Novela', 'History and criticism', 'Horror fiction', 'British and irish fiction (fictional works by one author)', 'Fiction, historical, general', 'literary criticism', 'English Science fiction', 'English Horror tales', 'Scientists in literature', 'Monsters in literature', 'Science, experiments, fiction', 'Authors', 'Travel', 'Reincarnation', 'Self-actualization (Psychology)', 'Vida espiritual', 'Arte de vivir', 'Conducta (Ética)', 'Self-realization', 'Reading materials', 'Fiction, science fiction, hard science fiction', 'Switzerland, fiction', 'Literature and fiction, women authors', 'Literature, history and criticism', 'Science fiction', 'Cartoons and comics', 'Monstres', 'Romans, nouvelles', 'Comic books, strips', 'Classic science fiction', 'Horror and supernatural fiction', 'Classic fiction', 'Science in literature', 'Illustration', 'Gothic fiction', 'English language, juvenile literature', 'Shelley, Mary Wollstonecraft, 1797-1851. Frankenstein', 'Frankenstein, Victor (Fictitious character) -- Fiction', ""Frankenstein's monster (Fictitious character) -- Fiction"", 'Scientists -- Fiction', 'Monsters -- Fiction', 'Frankenstein’s monster (Fictitious character)', 'Frankenstein’s monster', 'Monsters--fiction', 'Frankenstein, victor (fictitious character)', 'Frankenstein, victor (fictitious character)--fiction', 'Pr5397 .f7 1992', '823.7 f', 'Frankenstein, victor', ""Frankenstein's monster"", 'Scientists--fiction', 'Frankenstein, victor (fictional character)', 'Frankenstein, victor (fictional character)--fiction', 'Frankenstein (fictional character)', 'Frankenstein (fictional character)--fiction', 'Pr5397 .f7 2003c', '823/.7', 'Fic004000', 'Pr5397 .f7 1969', 'Pr5397 .f7 2008f', '823.7', 'Science & technology in literature', 'Literary styles & movements - fiction', 'Books at the movies', 'Occupations - fiction', 'English fiction & prose literature - general & miscellaneous - literary criticism', 'Horror literature - literary criticism', 'English', 'Scot', 'Pr5397 .f7 2007', 'Shelley, mary wollstonecraft , 1797-1851', 'Pr5397 .f7 2012', 'Classics', 'Horror', 'Gothic', 'English & college success -> english -> fiction', 'Mary shelley', 'Mary wollstonecraft shelley', 'Women authors', 'Rhetoric', 'Ya', 'Young adult', 'Juvenile', 'History', 'Historical', 'Classic', 'Literature', 'Books', 'Novels', 'Hardcovers', 'Paperback', 'Ebook', 'Audio-book', 'Stories', 'Tales', 'Madness', 'Mad', 'Science', 'Life conduct', 'Ethics', 'Translations into russian', 'Ficción', 'Frankenstein (personaje literario)', 'Monstruos', 'Epistolary fiction', 'Conducta (etica)', 'ghost', 'Frankenstein films', 'Juvenile fiction', 'African american women', 'Man-woman relationships', 'Pr5397 .f7 2012d', 'Pr5397 .f7 2008d', '823', 'Drama (dramatic works by one author)', 'Long Now Manual for Civilization']","['young adult', 'science fiction', 'horror']",N/A,0,12356249,open,N/A,3.94300518134715,193,[]
2,,,The Wonderful Wizard of Oz,L. Frank Baum,1899,2052,"['Witches', 'Toy and movable books', 'Spanish language materials', 'Fiction', 'Wizards', 'Juvenile literature', 'Wizards in fiction', ""Children's stories, Russian"", 'Specimens', 'Imaginary voyages in fiction', 'Classic Literature', 'Imaginary Voyages', ""Children's stories, American"", 'Adventure and adventurers', 'Open Library Staff Picks', 'Books and reading', ""Children's stories"", 'Witches in fiction', 'History', 'Juvenile fiction', 'Latin language materials', 'Fairy tales', 'Children', 'Contes americains', 'Ouvrages pour la jeunesse', 'Fantasy', 'Fantasy fiction', 'Fantastic fiction', 'Novela fantástica', 'Fantasía', 'Teenage girls', 'Quests (Expeditions)', 'Oz (Imaginary place)', ""Children's fiction"", 'Oz (imaginary place), fiction', 'Fiction, fantasy, general', 'Young adult fiction', 'Fiction, science fiction, general', 'Wizards, fiction', 'Fantasy & Magic', 'Classics', 'Literature and fiction, juvenile', 'American Fantasy fiction', 'History and criticism', 'Dorothy Gale (Fictional character)', 'French language materials', 'American literature', 'Children: Babies Toddlers', 'Wizard of Oz (Fictitious character)', 'Friendship', 'Courage', 'Adventure stories', 'Dorothy Gale (Fictitious character)', ""Children's literature"", 'General', 'Contes américains', 'Roman pour la jeunesse', 'Contes', 'Tong hua', 'Er tong wen xue', 'Han yu pin yin', 'Er tong du wu', 'Translations into Chinese', 'Suo xie ben', 'Chinese language materials', 'Ying yu', 'Dui zhao du wu', 'Han yu', 'Pictorial works', 'Robots, fiction', 'Science fiction', 'Criticism and interpretation', 'Wizard of Oz (Baum, L. Frank)', 'Fiction, general', 'Film adaptations', 'Oz (Imaginary place) -- Juvenile fiction', 'Fantasy literature', 'Courage -- Juvenile fiction', 'Home -- Juvenile fiction', 'Good and evil -- Juvenile fiction', 'Dreams -- Juvenile fiction', 'Gale, Dorothy (Fictitious character) -- Juvenile fiction', 'Cowardly Lion (Fictitious character) -- Juvenile fiction', 'Cyclones -- Juvenile fiction', 'Scarecrow (Fictitious character from Baum) -- Juvenile fiction', 'Toto (Fictitious character) -- Juvenile fiction', 'Witches -- Juvenile fiction', 'Wizard of Oz (Fictitious character) -- Juvenile fiction', 'Tin Woodman (Fictitious character) -- Juvenile fiction', 'Adventure and adventurers, fiction', 'Witches, fiction', 'Scarecrow (Fictitious character : Baum)', 'Tin Woodman (Fictitious character)', 'Cowardly Lion (Fictitious character)', 'Oz (Lieu imaginaire)', 'Romans, nouvelles, etc. pour la jeunesse', 'Friendship, fiction', 'People with disabilities, fiction', 'Great britain, fiction', 'American fiction (fictional works by one author)', 'Picture books', 'Fables', 'Toto (Fictitious character)', 'Good and evil', 'Motion picture plays', 'Juvenile drama', 'JUVENILE FICTION / Fantasy & Magic', 'Fiction, action & adventure', 'Jeugdboeken ; verhalen', 'Literature and fiction (general)', 'Drama', 'Illustrations', 'Long Now Manual for Civilization']","['children', 'science fiction', 'fantasy']",N/A,0,552443,open,N/A,3.9545454545454546,110,[]
3,,,The Time Machine,H. G. Wells,1895,1151,"['Self-experimentation in medicine in fiction', 'Fiction', 'Time travel in fiction', 'Dystopias in fiction', 'Literature', 'Scientists', 'Classic Literature', 'Open Library Staff Picks', 'Scientists in fiction', 'Space warfare', 'Self-experimentation in medicine', 'open_syllabus_project', 'English Science fiction', 'Dystopias', 'Time travel', 'Science fiction', 'Animal experimentation in fiction', 'Juvenile fiction', 'Comic and Graphic Books', 'Animal experimentation', 'Space warfare in fiction', 'Graphic novels', 'Comics & Graphic Novels', 'General', 'FICTION / Classics', 'Movie novels', 'FICTION / Science Fiction / Time Travel', 'Science fiction time travel', ""Children's fiction"", 'Time travel, fiction', 'British and irish fiction (fictional works by one author)', 'Fiction, science fiction, general', 'Fiction, dystopian', 'Fiction, action & adventure', 'Literature and fiction, science fiction', 'Cartoons and comics', 'Space and time, fiction', 'Short stories', 'English fiction', 'Texts', 'Easy reading materials', 'Space and time', 'Child and youth fiction', 'Comics & graphic novels, science fiction', 'Comics & graphic novels, literary', 'English literature', 'Coloring books', 'Color, juvenile literature', 'Adaptations', 'Comic books, strips', 'Inventors', 'Imaginary wars and battles', 'Science-fiction', 'Romans', 'Voyages dans le temps', 'Romans, nouvelles, etc. pour la jeunesse', 'Fiction, historical, general', 'Dictionaries', 'English language', 'Spanish', 'German', 'French', 'Korean', 'Time machine (Wells, H. G.)', 'Fantasy fiction', 'Fiction, psychological', 'Scientists, fiction', 'Romans, nouvelles', 'Dystopies', 'Viaje a través del tiempo', 'Novela', 'Ciencia-ficción', 'Distopías', 'Wells, h. g. (herbert george), 1866-1946', 'Fiction, general', 'Time travel -- Fiction', 'Space and time -- Fiction', 'Voyages dans le temps -- Romans, nouvelles, etc', 'Long Now Manual for Civilization']",['science fiction'],N/A,0,9009316,open,N/A,3.869565217391304,92,[]
4,,,The Lost World,Arthur Conan Doyle,1900,747,"['Adventure stories', 'Atlantis', 'Dinosaurs', 'Discovery and exploration', 'English Detective and mystery stories', 'Fiction', 'Fiction in French', 'Prehistoric peoples', 'Professor Challenger (Fictitious character)', 'Scientific expeditions', 'Translations into Czech', 'Translations into Russian', 'Science fiction', 'Fantasy', 'Discoveries in geography', ""Children's fiction"", 'Dinosaurs, fiction', 'Fiction, fantasy, general', 'Fiction, action & adventure', 'Challenger, professor (fictitious character), fiction', 'South america, fiction', 'Books and reading', 'Public libraries', 'Activity programs', 'Criticism and interpretation', 'Reading promotion', ""Young adults' libraries"", 'Westminster Libraries and Archives', 'Youth', 'Lost world (Doyle, Arthur Conan)', 'Children', 'British and irish fiction (fictional works by one author)', 'Fiction, science fiction, general', 'Scientists, fiction', 'English literature', 'Fiction, historical, general', 'Romans, nouvelles', 'Dinosaures', 'Challenger, Professor (Personaje literario)', 'Novela', 'Pueblos prehistóricos', 'Dinosaurios', 'Adventure and adventurers, fiction', 'Fiction, general', 'Challenger, Professor (Fictitious character) -- Fiction', 'Fantasy fiction', 'South America -- Fiction', 'Prehistoric peoples -- Fiction', 'Dinosaurs -- Fiction', 'Literature and fiction, action and adventure', 'New York Times reviewed', 'Prehistoric peoples, fiction', 'Scientific expeditions, fiction', 'South America', 'English Fantasy fiction', 'Long now manual for civilization']","['children', 'fantasy', 'science fiction']",N/A,0,8231444,open,N/A,3.914285714285714,35,[]
5,,,Dracula,Bram Stoker,1897,730,"['Count Dracula (Fictitious character)', 'Dracula, Conde (Personaje literario)', 'Dracula, Count (Fictitious character)', 'English language', 'English literature', 'Fiction', 'Horror', 'Horror stories', 'Horror tales', 'Monsters', 'Thriller', 'Vampires', 'Vampires in literature', 'Horror fiction', 'Irish authors', 'Epistolary novels', 'Romanians', 'British', 'Psychological fiction', 'Transylvania (Romania)', 'Textbooks for foreign speakers', 'Readers for new literates', ""Children's fiction"", 'Romania, fiction', 'England, fiction', 'Vampires, fiction', 'Fiction, horror', 'Dracula, count (fictitious character), fiction', 'British and irish fiction (fictional works by one author)', 'Cartoons and comics', 'Fiction, fantasy, general', 'Adaptations', 'Fiction, gothic', 'Dictionaries', 'French', 'German', 'Spanish', 'Juvenile fiction', ""Children's stories"", 'Literature', 'Comics & graphic novels, horror', 'Comic books, strips, etc.', 'Comics & graphic novels, literary', 'Stoker, bram, 1847-1912', 'Horror tales, history and criticism', 'Fiction, psychological', 'Fiction, historical, general', 'Film and video adaptations', 'English Horror tales', 'History and criticism', 'County Dracula (Fictitious character)', 'Vampiros', 'Novela', 'Dracula (Personaje literario)', '18.05 English literature', 'Count Dracula (Fictional character)', 'Fiction, ghost', 'Literature, study and teaching', 'Irish fiction', 'Dracula (Stoker)', 'Dracula i litteraturen', 'Dracula (Stoker, Bram)', 'Literary criticism', 'Gothic literature', 'British and irish drama (dramatic works by one author)', 'Dracula, count (fictitious character), drama', 'l', 'English language, rhetoric', 'Report writing', 'Science fiction, fantasy, horror', 'Drama', 'Science fiction', 'Romans, nouvelles', 'Classics', 'Action & adventure', 'Large type books', 'Temples', 'Legends', 'Religion', 'Long Now Manual for Civilization']","['science fiction', 'thriller', 'horror']",N/A,0,12216503,open,N/A,4.046357615894039,151,[]
6,,349211640X,Brave New World,Aldous Huxley,1932,675,"['Utopias', 'Brainwashing', 'Moral and ethical aspects of Science', 'Fiction', 'Science and state', 'Social problems', 'Passivity (Psychology)', 'Culture', 'Propaganda', 'Genetic engineering', 'Science', 'English fiction', 'Science fiction', 'Dystopias', 'Totalitarianism', 'Collectivism', 'Control (Psychology)', 'History and criticism', 'Ciencia-ficción', 'Lavado de cerebro', 'Ficción', 'Science-fiction anglaise', 'Science-fiction', 'Reading Level-Grade 9', 'Reading Level-Grade 11', 'Reading Level-Grade 10', 'Reading Level-Grade 12', 'Gesellschaft', 'Moral and ethical aspects', 'Totalitarismus', 'Ethics', 'British and irish fiction (fictional works by one author)', 'Fiction, psychological', 'Fiction, political', 'Fiction, science fiction, general', 'Long Now Manual for Civilization', 'Spanish fiction', 'Capitalism', 'Dystopia', 'satire', 'class systems', 'London', 'future', 'capitalist civilization', 'English Science fiction', 'Large type books', 'Psychological fiction', 'Political fiction', 'Classics', 'Dystopian', 'New York Times reviewed', 'Fiction, general', 'English literature', 'American fiction (fictional works by one author)', 'Control (Psicología)', 'Aspectos morales y éticos', 'Ciencia y Estado', 'Ciencia', 'collectionID:ConroeChallenge', 'Audiobooks', 'Atomic bomb', 'Desertification', 'Radioactive pollution', 'Environmental aspects', 'Nature', 'Effect of human beings on', 'Realism in literature', 'Fiction in english']","['dystopian', 'science fiction']",N/A,0,8231823,borrow_unavailable,N/A,3.949275362318841,414,[]
7,,N/A,The Iron Heel,Jack London,1907,594,"['Revolutions, fiction', 'Oligarchy, fiction', 'Utopias,  fiction', 'Revolutionaries, fiction', 'Dysyopias, fiction', 'Science Fiction', 'Socialism,  fiction', 'Classic Literature', 'American fiction (fictional works by one author)', 'Fiction, political', 'Fiction, historical', 'United States, fiction', 'Political fiction']",['science fiction'],N/A,0,8243314,N/A,N/A,3.5,20,[]
8,,N/A,Flatland,Edwin Abbott Abbott,1884,543,"['Fourth dimension', 'Fiction, general', 'Open Library Staff Picks', 'Denkbeeldige landen', 'Film and video adaptations', 'Meetkunde', 'Science Fiction', 'Geometry', 'Film adaptations', 'Fiction', 'Imaginary places', 'Historical Fiction', 'Mathematics', 'Classic Literature', 'Specimens', 'Dimension 4.', 'Reading Level-Grade 11', 'Reading Level-Grade 12', 'Large type books', 'English Science fiction', 'Wit and Humor as Topic', 'Long Now Manual for Civilization', 'Readers (Secondary)', 'Examinations', 'SAT (Educational test)', 'Vocabulary tests', 'Study guides', 'English language', 'Fiction, action & adventure', 'Fiction, humorous, general', 'Fiction, fantasy, general', 'England, fiction', 'Spirituality', 'Spiritual life', 'Sphere', 'Expanding universe', 'Drama', 'Utopias', 'Fiction, science fiction, general', 'homeschool curriculum', 'learn math', 'Physics', 'Fiction & literature classics', 'World literature', 'Fiction subjects', 'Science fiction & fantasy']","['science fiction', 'historical fiction']",N/A,0,10069547,N/A,N/A,3.90625,96,[]
9,,9787201106380,Nineteen Eighty-Four,George Orwell,1949,433,"['futurology', 'censorship', 'surveillance', 'rebels', 'sting operations', 'historical negationism', 'memory holes', 'thoughtcrime', 'Outer Party', 'resistance movements', 'Newspeak', 'perpetual war', 'telescreens', 'cult of personality', 'Ingsoc', 'Satirical literature', 'English science fiction', 'FICTION CLASSICS', 'CLASSICS', 'CONTEMPORARY FICTION', 'Man-woman relationships', 'Politique', 'Political fiction', 'Totalitarisme', 'Fiction', 'Romans', 'Facsimiles', 'Totalitarismo', 'Husbands', 'Classic Literature', 'Manuscripts', 'Novela política', 'Middle aged men', 'Insurance agents', 'open_syllabus_project', 'Distopías', 'Dystopias', 'Ficción', 'Ciencia-ficción', 'Cautionary tales and verse', 'Dystopias in literature', 'Suburban life', 'English fiction', 'Totalitarianism', 'Indic fiction (English)', 'Science Fiction', 'Traducciones al español', 'Novela', 'Novela inglesa', 'Zukunft', 'Polizeistaat', 'English Political fiction', 'Totalitarianism and literature', 'History and criticism', 'Reading Level-Grade 11', 'Reading Level-Grade 12', 'British and irish fiction (fictional works by one author)', 'London (england), fiction', 'Fiction, political', 'Fiction, dystopian', 'Fiction, science fiction, general', 'English literature', 'Correspondence', 'Journalists', 'English Authors', 'Correspondence..', 'Authors and publishers', 'Fiction, short stories (single author)', 'British and irish drama (dramatic works by one author)', 'Brainwashing', 'Authoritarianism', 'NOVELAS INGLESAS', 'Fiction, historical, general', 'Political science', 'Satire', 'Romans, nouvelles', 'Literature', 'Fiction, general', 'Psychological fiction', 'Drama', 'Dystopian plays', 'Essays', 'Literary', 'Nationalism', 'Lexicography', 'Language & literary studies', 'English manuscripts', 'Translations into russian', 'Translations into urdu', 'Fantasy', 'Translations into spanish', 'Nineteen eighty-four (orwell, george)', 'Translating and interpreting', 'Comic books, strips', 'Adaptations', 'Totalitarianism--fiction', 'Pr6029.r8 n49 2003', 'Long now manual for civilization']","['fantasy', 'science fiction']",N/A,0,9267242,borrow_unavailable,N/A,4.279503105590062,322,[]
10,,N/A,The War of the Worlds,H. G. Wells,1898,429,"['Imaginary wars and battles', 'Juvenile fiction', 'Space warfare', 'Science Fiction & Fantasy', 'Fiction', 'Diseases', 'Martians', 'Invasions', 'Classic Literature', 'Open Library Staff Picks', 'open_syllabus_project', 'English Science fiction', 'Imaginary wars and battles in literature', 'Mars (Planet)', 'Science fiction', 'Space vehicles', 'Earth', 'Romance Ingles', 'Fiction, science fiction, general', 'British and irish fiction (fictional works by one author)', 'Fiction, fantasy, general', ""Children's fiction"", 'Examinations', 'Vocabulary', 'SAT (Educational test)', 'English language', 'Study guides', 'Fiction, action & adventure', 'Life on other planets', 'War stories', 'Extraterrestrial beings, fiction', 'Outer space, fiction', 'Literature', 'English literature', 'Seres extraterrestres', 'Extraterrestrial beings', 'Ficcion', 'Guerra espacial', 'Fiction, science fiction, action & adventure', 'Human-alien encounters', 'Comic books, strips', 'Wells, h. g. (herbert george), 1866-1946', 'Adaptations', 'Graphic novels', 'Aladdin (legendary character), fiction', 'War, fiction', 'Adventure and adventurers, fiction', 'Guerras imaginarias', 'Novela', 'Guerra', 'Life on other planets, fiction', 'Fiction, war & military', 'Imaginary wars and battles -- Fiction', 'Space warfare -- Fiction', 'Mars (Planet) -- Fiction', 'Imaginary wars and battles--fiction', 'Space warfare--fiction', 'Pr5774 .w3 2005dx', '823.912', 'Long Now Manual for Civilization']",['science fiction'],N/A,0,36314,error,N/A,3.816901408450704,142,[]
